id,year,type,subject,title,description,answer,image
T1326,113,題組,現代詩文閱讀題組,文末「那個尖銳的姿態，同時也是狹窄的。」這句話的意思，最可能是下列何者？ ,最近經常想起愛丁堡。 可能是冬天到了的緣故，我就想起那個寒冷的城市。但想起愛丁堡時，記憶幾乎都局限在從宿舍到圖書館的一段路。其他的地方，有時連路名都想不起來了。我在那個城市住了三年多，但從離開的那天起，有關它的記憶卻迅速風乾縮小，失去細節的厚度。 在愛丁堡的期間，最常走的一段路，是從宿舍到國家圖書館。有時也會為了特定的資料，改去大學總圖或神學院圖書館。我喜歡圖書館，尤其老圖書館厚重的木頭桌椅，沉靜的氣氛和古書味。但每天最盼望的還是我給自己訂下的休息時間──下午三四點時到對街的大象咖啡館喝咖啡，吃杏仁牛角麵包，看報紙。那家咖啡館有一面窗正對著峭壁上的愛丁堡古城。從溫暖嘈雜的咖啡館，遠望冷峻的城堡，好像一種提醒。城堡的歷史以千年計，峭壁以萬年計，眼下我以時日計算的時間，不過是零頭。 二十幾歲的時候，人和城市的關係是有目的性的，有了目的就偏頗。你去到一個地方，心裡清楚它不是終點，只是為了完成些什麼，然後又收拾行李往別處去。例如留學，每個留學生的心裡都有一張時間表，底限是完成學業回家的時間──而那往往和獎學金的年限有關。懷著這張時間表生活，每一天都不是獨立的日子，「現在」不只是現在，是朝向日後而存在，日子長長地投影在未來。 那是一種生活在他方。只是當時不覺得匆忙，往後回想，才看出其中的風塵僕僕。那時我們都還不知道，攜帶著單一的目標去生活是件挂一漏萬的事。二十來歲時銳意求知，要到稍晚才學會，那個尖銳的姿態，同時也是狹窄的。 ,D,
T1327,113,題組,現代詩文閱讀題組,根據本文，出版社把原書絲線的顏色改掉，造成的影響最可能是下列何者？,綏夫特《格理弗遊記》（舊譯《格列佛遊記》或《大小人國遊記》）在中文世界裡幾乎是人盡皆知的兒童奇幻文學，但在英文世界裡它其實是一部用來諷刺人性、英國時政與權貴的作品。原書有四冊，但許多中譯本只有第一、二冊的《小人國》、《大人國》，使人無法窺其全貌。 在原始版本中，小人國國王將三種不同顏色的細絲線：藍、紅、綠，賞賜給表演類似凌波舞舞技最佳的三個人。其實不同顏色的絲線，是分別影射當時三種頒予爵士的勳章：藍色綬帶的嘉德勳章、紅色綬帶的巴斯勳章、綠色綬帶的薊勳章。因為凌波舞高手的筋骨要很柔軟，綏夫特用來影射沒有骨氣的人才能得到寵愛、成為高官。但也因為暗示過於明顯，出版商擔心會得罪當道，所以在出版時將絲線的顏色改為紫、黃、白。顏色一改，寓意就煙消雲散。 此外，早期的中文版有誤譯之處。如原書中應指「醫學」一詞，卻被譯者翻成「格物學」。所學的內容一變，主人翁船醫的身分也就變了，在長途航行中該如何發揮所學令人有些困惑。由此可見，翻譯時被誤解的內容，有時會有極大的影響。,A,
T1328,113,題組,現代詩文閱讀題組,根據本文，關於綏夫特《格理弗遊記》的敘述，下列何者最恰當？,綏夫特《格理弗遊記》（舊譯《格列佛遊記》或《大小人國遊記》）在中文世界裡幾乎是人盡皆知的兒童奇幻文學，但在英文世界裡它其實是一部用來諷刺人性、英國時政與權貴的作品。原書有四冊，但許多中譯本只有第一、二冊的《小人國》、《大人國》，使人無法窺其全貌。 在原始版本中，小人國國王將三種不同顏色的細絲線：藍、紅、綠，賞賜給表演類似凌波舞舞技最佳的三個人。其實不同顏色的絲線，是分別影射當時三種頒予爵士的勳章：藍色綬帶的嘉德勳章、紅色綬帶的巴斯勳章、綠色綬帶的薊勳章。因為凌波舞高手的筋骨要很柔軟，綏夫特用來影射沒有骨氣的人才能得到寵愛、成為高官。但也因為暗示過於明顯，出版商擔心會得罪當道，所以在出版時將絲線的顏色改為紫、黃、白。顏色一改，寓意就煙消雲散。 此外，早期的中文版有誤譯之處。如原書中應指「醫學」一詞，卻被譯者翻成「格物學」。所學的內容一變，主人翁船醫的身分也就變了，在長途航行中該如何發揮所學令人有些困惑。由此可見，翻譯時被誤解的內容，有時會有極大的影響。,B,
T1329,113,題組,現代詩文閱讀題組,根據本文，關於人類對地球資源的消耗，下列敘述何者最恰當？ ,1990 年代初研究人員設計出一套評估方法，是為了計算出當年度的「地球超載日」。今年（2022年）的「地球超載日」在7月28日，代表在這一天，我們已經耗盡當年度地球的永續資源，在剩餘的時間裡，都將以透支的方式消耗地球資源。據此，養活全世界的人口要1.75個地球的資源才夠。每個國家帶給地球的負擔也大不同，如果每個人的生活方式都跟美國人一樣，那2022年地球超載日會落在3月13日。 根據這套方法往回推算1971年，地球超載日是12月25日，之後就一路提前。2000年地球超載日落在9月，2018年起提前到7月。2020年因 Covid-19 疫情爆發，地球超載日曾往後延了三週，但隔年就恢復到疫情前的情況。 非政府組織世界自然基金會與全球生態足跡網將矛頭指向食品生產系統及其龐大的生態足跡：整體來說，地球上超過一半的生物承載力是用來養活人類。很大一部分的糧食和原物料是用於畜牧，人們再吃掉這些動物。富裕國家應減少肉品消費，如果可以將肉品消費量減半，地球超載日就可以延後17天。由於全世界1/3的食物被浪費掉，所以限制食物浪費可將超載日延後13天。 ,D,
T1330,113,題組,現代詩文閱讀題組,根據本文，下列何者最可能使地球超載日延後？,1990 年代初研究人員設計出一套評估方法，是為了計算出當年度的「地球超載日」。今年（2022年）的「地球超載日」在7月28日，代表在這一天，我們已經耗盡當年度地球的永續資源，在剩餘的時間裡，都將以透支的方式消耗地球資源。據此，養活全世界的人口要1.75個地球的資源才夠。每個國家帶給地球的負擔也大不同，如果每個人的生活方式都跟美國人一樣，那2022年地球超載日會落在3月13日。 根據這套方法往回推算1971年，地球超載日是12月25日，之後就一路提前。2000年地球超載日落在9月，2018年起提前到7月。2020年因 Covid-19 疫情爆發，地球超載日曾往後延了三週，但隔年就恢復到疫情前的情況。 非政府組織世界自然基金會與全球生態足跡網將矛頭指向食品生產系統及其龐大的生態足跡：整體來說，地球上超過一半的生物承載力是用來養活人類。很大一部分的糧食和原物料是用於畜牧，人們再吃掉這些動物。富裕國家應減少肉品消費，如果可以將肉品消費量減半，地球超載日就可以延後17天。由於全世界1/3的食物被浪費掉，所以限制食物浪費可將超載日延後13天。 ,C,
T1331,113,題組,現代詩文閱讀題組,根據展覽概述，下列推論何者最恰當？,范寬（約950-1032年）〈谿山行旅〉、郭熙（約1023-1087年）〈早春圖〉、李唐（約1049-1130年）〈萬壑松風〉素有故宮「鎮院三寶」之譽，2012年由文化部核定公告為國寶級文物。這三件巨幅立軸，分別代表了北宋「巨碑式」山水畫的典範，雖非全然依據真境，卻是通過自然的靜觀體悟，重新組織而成的理想山水典型。據畫上紀年推算，時代最近的〈萬壑松風〉，距今已經897年。因歲月久遠且畫作的絹本質材脆弱，為保護珍貴古物，減少被光線照射的時間，每次展覽至少須間隔三年以上，且展期不超過42天。2021年故宮特別規劃推出「鎮院國寶」展覽，距離前次三寶合體展出已相隔十年。,A,
T1332,113,題組,現代詩文閱讀題組,右圖是阿燦根據資料繪製的美術作業，同學小群核對後發現有疏失處，最可能是下列何者？,,A,T1332.png
T1333,113,題組,現代詩文閱讀題組,根據本文，下列圖表何者最適合用來呈現「人工智慧」、「機器學習」、「深度學習」三者之間的關係？,2018 年流傳一段影片，片中美國前總統歐巴馬竟語出驚人地說：「川普總統完全是個笨蛋！」儘管片中歐巴馬臉部表情、肢體語言都像極了他，但卻不是本尊。影片隨後出現演員皮爾，原來這是他模仿的影片，藉由深偽技術，竟可變成歐巴馬談話的片段。美國媒體製作這段影片的目的在提醒大眾，此類影片極可能成為操縱輿論的利器。當它漸趨氾濫時，散布者的罪惡感也會相對減少，最大的危機就是造成民眾對社會產生不信任感，逐步地破壞民主制度。 深偽技術能製作的除了影像，也包括文字與聲音。一般人說的「人工智慧」，是一個很大的架構，其中一個領域是「機器學習」。而深偽技術是屬於「機器學習」裡的「深度學習」，它是以深度神經網路為架構，對資料表徵進行學習的演算法。 深度學習技術在偽造影像的生成與辨識，是運用「生成對抗網路」，由「生成器」和「辨識器」兩個神經網路組成。生成器就像是演算法透過大量資料去學習狗的模樣，直到可以畫出狗。辨識器則是可以分辨畫的狗和照片的狗。這兩個模型結合後，就像是一邊有一個人畫狗，另一邊有一個老師說這跟真的狗差很多，所以畫的人要再修改。直到有一天這個人畫的狗能騙過老師，而老師在一次次判斷中也越來越厲害。偽造影像的生成與辨識，就是生成器和辨識器之間的競賽。 深偽技術是近年新興的科技，若將它運用於影視作品，可節省製作電影或遊戲的時間，有正面的效益。但也有人利用合成的假影像操弄資訊，進而詐騙牟利、毀人聲譽，製造社會的動盪，讓這項技術引發爭議。 ,B,
T1334,113,題組,現代詩文閱讀題組,根據畫線處的文句，下列關係的說明，何者最接近文中「偽造影像的生成」與「偽造影像的辨識」兩者之間的競爭？ ,2018 年流傳一段影片，片中美國前總統歐巴馬竟語出驚人地說：「川普總統完全是個笨蛋！」儘管片中歐巴馬臉部表情、肢體語言都像極了他，但卻不是本尊。影片隨後出現演員皮爾，原來這是他模仿的影片，藉由深偽技術，竟可變成歐巴馬談話的片段。美國媒體製作這段影片的目的在提醒大眾，此類影片極可能成為操縱輿論的利器。當它漸趨氾濫時，散布者的罪惡感也會相對減少，最大的危機就是造成民眾對社會產生不信任感，逐步地破壞民主制度。 深偽技術能製作的除了影像，也包括文字與聲音。一般人說的「人工智慧」，是一個很大的架構，其中一個領域是「機器學習」。而深偽技術是屬於「機器學習」裡的「深度學習」，它是以深度神經網路為架構，對資料表徵進行學習的演算法。 深度學習技術在偽造影像的生成與辨識，是運用「生成對抗網路」，由「生成器」和「辨識器」兩個神經網路組成。生成器就像是演算法透過大量資料去學習狗的模樣，直到可以畫出狗。辨識器則是可以分辨畫的狗和照片的狗。這兩個模型結合後，就像是一邊有一個人畫狗，另一邊有一個老師說這跟真的狗差很多，所以畫的人要再修改。直到有一天這個人畫的狗能騙過老師，而老師在一次次判斷中也越來越厲害。偽造影像的生成與辨識，就是生成器和辨識器之間的競賽。 深偽技術是近年新興的科技，若將它運用於影視作品，可節省製作電影或遊戲的時間，有正面的效益。但也有人利用合成的假影像操弄資訊，進而詐騙牟利、毀人聲譽，製造社會的動盪，讓這項技術引發爭議。 ,D,
T1335,113,題組,現代詩文閱讀題組,根據本文，下列關於深偽技術或深偽影片的敘述，何者最恰當？ ,2018 年流傳一段影片，片中美國前總統歐巴馬竟語出驚人地說：「川普總統完全是個笨蛋！」儘管片中歐巴馬臉部表情、肢體語言都像極了他，但卻不是本尊。影片隨後出現演員皮爾，原來這是他模仿的影片，藉由深偽技術，竟可變成歐巴馬談話的片段。美國媒體製作這段影片的目的在提醒大眾，此類影片極可能成為操縱輿論的利器。當它漸趨氾濫時，散布者的罪惡感也會相對減少，最大的危機就是造成民眾對社會產生不信任感，逐步地破壞民主制度。 深偽技術能製作的除了影像，也包括文字與聲音。一般人說的「人工智慧」，是一個很大的架構，其中一個領域是「機器學習」。而深偽技術是屬於「機器學習」裡的「深度學習」，它是以深度神經網路為架構，對資料表徵進行學習的演算法。 深度學習技術在偽造影像的生成與辨識，是運用「生成對抗網路」，由「生成器」和「辨識器」兩個神經網路組成。生成器就像是演算法透過大量資料去學習狗的模樣，直到可以畫出狗。辨識器則是可以分辨畫的狗和照片的狗。這兩個模型結合後，就像是一邊有一個人畫狗，另一邊有一個老師說這跟真的狗差很多，所以畫的人要再修改。直到有一天這個人畫的狗能騙過老師，而老師在一次次判斷中也越來越厲害。偽造影像的生成與辨識，就是生成器和辨識器之間的競賽。 深偽技術是近年新興的科技，若將它運用於影視作品，可節省製作電影或遊戲的時間，有正面的效益。但也有人利用合成的假影像操弄資訊，進而詐騙牟利、毀人聲譽，製造社會的動盪，讓這項技術引發爭議。 ,C,
T1336,113,題組,現代詩文閱讀題組,根據本文，古阿明想透過畫作表達的意義，最可能是下列何者？ ,古阿明昨天在茶園裡畫的作品，郭雲天認為是近一個月以來最好的一幅，也是最使他滿意的一幅。 古阿明畫的是茶蟲。那真是個奇異的幻想世界。在一面圖案化的綠色畫面上，各種各樣的大小茶蟲畫得猙獰可怖。此外還有幾個人物──古阿明曾向郭雲天說那三個人是姊姊，小弟弟和他自己。茶蟲有的在拼命地啃茶葉，有的在吃畫面上的一個人物手裡捧著的飯，有的在吃另一個人物的衣服。古阿明那小小的心靈裡的憤恨與恐懼，靠著他那獨特的，大膽的筆觸，毫無遺漏地表露出來。 郭雲天只有暗嘆的份兒，幾乎沒有提供意見的餘地，因為古阿明一開始作畫，就好像已忘了周遭的一切，連他所尊敬的師長在身旁也都似乎渾然忘卻，手不停揮地畫下去。直到畫好後，郭雲天才得到機會提出他的修改意見。他指示他哪裡的顏色還不夠鮮明，哪一筆線條還要加強。 事實上，郭雲天的意見也不多。他不忍破壞掉那純潔的心靈裡所流露出來的，敏銳得就如電流一般的感覺。甚至他明知畫裡的一條蟲在生卵是錯誤的，也還是讓他保持原來的面目。他認為與其改正過來，倒毋寧這個樣子較合他的年歲。 ,C,
T1337,113,題組,現代詩文閱讀題組,根據本文，郭雲天對古阿明的畫作意見不多，原因最可能是下列何者？ ,古阿明昨天在茶園裡畫的作品，郭雲天認為是近一個月以來最好的一幅，也是最使他滿意的一幅。 古阿明畫的是茶蟲。那真是個奇異的幻想世界。在一面圖案化的綠色畫面上，各種各樣的大小茶蟲畫得猙獰可怖。此外還有幾個人物──古阿明曾向郭雲天說那三個人是姊姊，小弟弟和他自己。茶蟲有的在拼命地啃茶葉，有的在吃畫面上的一個人物手裡捧著的飯，有的在吃另一個人物的衣服。古阿明那小小的心靈裡的憤恨與恐懼，靠著他那獨特的，大膽的筆觸，毫無遺漏地表露出來。 郭雲天只有暗嘆的份兒，幾乎沒有提供意見的餘地，因為古阿明一開始作畫，就好像已忘了周遭的一切，連他所尊敬的師長在身旁也都似乎渾然忘卻，手不停揮地畫下去。直到畫好後，郭雲天才得到機會提出他的修改意見。他指示他哪裡的顏色還不夠鮮明，哪一筆線條還要加強。 事實上，郭雲天的意見也不多。他不忍破壞掉那純潔的心靈裡所流露出來的，敏銳得就如電流一般的感覺。甚至他明知畫裡的一條蟲在生卵是錯誤的，也還是讓他保持原來的面目。他認為與其改正過來，倒毋寧這個樣子較合他的年歲。 ,B,
T1338,113,題組,古典詩文閱讀題組,下列關於甲、乙二文文句的說明，何者最恰當？,【甲】 人讀聖人書二三十年，一旦遇事，便與里巷人無異，或有一聽老成語，便能終身服膺。豈老成之言過於六經哉？只緣讀書不作有用看故也。大抵看史見治則以為治，見亂則以為亂，見一事則止知一事，何取？觀史如身在其中，見事之利害、時之禍患，必掩卷自思，使我遇此等事，當作何處之──如此觀史，學問亦可以進，智識亦可以高，方為有益。 ──改寫自呂祖謙《東萊集》 【乙】 讀書時，須細看古人處一事，接一物，是如何思量？如何氣象？及自己處事接物時，又細心將古人比擬。設若古人當此，其措置之法，當是如何？我自己任性為之，又當如何？然後自己過錯始見，古人道理始出。斷不可以古人之書，與自己處事接物為兩事。 ──《左宗棠全集》,B,
T1339,113,題組,古典詩文閱讀題組,關於甲、乙二文的說明與比較，下列何者最恰當？,【甲】 人讀聖人書二三十年，一旦遇事，便與里巷人無異，或有一聽老成語，便能終身服膺。豈老成之言過於六經哉？只緣讀書不作有用看故也。大抵看史見治則以為治，見亂則以為亂，見一事則止知一事，何取？觀史如身在其中，見事之利害、時之禍患，必掩卷自思，使我遇此等事，當作何處之──如此觀史，學問亦可以進，智識亦可以高，方為有益。 ──改寫自呂祖謙《東萊集》 【乙】 讀書時，須細看古人處一事，接一物，是如何思量？如何氣象？及自己處事接物時，又細心將古人比擬。設若古人當此，其措置之法，當是如何？我自己任性為之，又當如何？然後自己過錯始見，古人道理始出。斷不可以古人之書，與自己處事接物為兩事。 ──《左宗棠全集》,B,
T1340,113,題組,古典詩文閱讀題組,根據本文，下列文句「」中的字義，何者說明最恰當？,楚人江乙為郢大夫。有入王宮中盜者，令尹以罪乙，請於王而黜之。其母往言於王曰：「妾夜亡布八匹，令尹盜之。」王謂母曰：「令尹信盜之，寡人不為其富貴而不行法焉。若不盜而誣之，楚國有常法。」母曰：「令尹不身盜之也，乃使人盜之。」王曰：「其使人盜奈何？」對曰：「昔孫叔敖之為令尹也，道不拾遺，門不閉關，而盜賊自息。今令尹之治也，耳目不明，盜賊公行，是故使盜得盜妾之布，是與使人盜何以異也？」王曰：「令尹在上，寇盜在下，令尹不知有何罪焉？」 母曰：「昔日妾之子為郢大夫，有盜王宮中之物者，妾子坐而黜，妾子亦豈知之哉？然終坐之。令尹獨何人，而不以是為過也？昔者周武王有言曰：『百姓有過，在予一人。』上不明則下不治，相不賢則國不寧。王其察之。」,C,
T1341,113,題組,古典詩文閱讀題組,根據本文，下列關於令尹與楚王的敘述何者最恰當？,楚人江乙為郢大夫。有入王宮中盜者，令尹以罪乙，請於王而黜之。其母往言於王曰：「妾夜亡布八匹，令尹盜之。」王謂母曰：「令尹信盜之，寡人不為其富貴而不行法焉。若不盜而誣之，楚國有常法。」母曰：「令尹不身盜之也，乃使人盜之。」王曰：「其使人盜奈何？」對曰：「昔孫叔敖之為令尹也，道不拾遺，門不閉關，而盜賊自息。今令尹之治也，耳目不明，盜賊公行，是故使盜得盜妾之布，是與使人盜何以異也？」王曰：「令尹在上，寇盜在下，令尹不知有何罪焉？」 母曰：「昔日妾之子為郢大夫，有盜王宮中之物者，妾子坐而黜，妾子亦豈知之哉？然終坐之。令尹獨何人，而不以是為過也？昔者周武王有言曰：『百姓有過，在予一人。』上不明則下不治，相不賢則國不寧。王其察之。」,D,
T1342,113,題組,古典詩文閱讀題組,根據本文，江母見楚王的目的最可能是下列何者？ ,楚人江乙為郢大夫。有入王宮中盜者，令尹以罪乙，請於王而黜之。其母往言於王曰：「妾夜亡布八匹，令尹盜之。」王謂母曰：「令尹信盜之，寡人不為其富貴而不行法焉。若不盜而誣之，楚國有常法。」母曰：「令尹不身盜之也，乃使人盜之。」王曰：「其使人盜奈何？」對曰：「昔孫叔敖之為令尹也，道不拾遺，門不閉關，而盜賊自息。今令尹之治也，耳目不明，盜賊公行，是故使盜得盜妾之布，是與使人盜何以異也？」王曰：「令尹在上，寇盜在下，令尹不知有何罪焉？」 母曰：「昔日妾之子為郢大夫，有盜王宮中之物者，妾子坐而黜，妾子亦豈知之哉？然終坐之。令尹獨何人，而不以是為過也？昔者周武王有言曰：『百姓有過，在予一人。』上不明則下不治，相不賢則國不寧。王其察之。」,B,
